figure,paper_result,paper_value,our_result,status,remaining_difference,artifact_path
Fig. 3,Smooth reconstruction of the explicit unseen condition at 0/5/10/15% noise,qualitative,"all four columns produced for TG0=1.94, ROH0=1.43, T=334.8 K; all six species","evaluation completed; qualitatively similar, not quantitatively matched",Reconstruction is visibly imperfect even at 0%: ROH is driven negative at late times and GL / R'CO2R overshoot. The noisy columns are not visibly worse than the clean one.,results/reproduction/figures/biodiesel/fig03_biodiesel_noise_columns.pdf
Fig. 4,ChemKAN training scaling slope,-1.0,"-0.41 (R2 0.19, SE 0.49)",evaluation completed; fitting scope differs,Descriptive all-point regression; paper uses a pre-saturation subset. Current DeepONet uses reference_final_trunk_relu; legacy tables are archived.,results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,ChemKAN testing scaling slope,-0.6,"-0.38 (R2 0.18, SE 0.47)",evaluation completed; fitting scope differs,Descriptive all-point regression; paper uses a pre-saturation subset. Current DeepONet uses reference_final_trunk_relu; legacy tables are archived.,results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,DeepONet training scaling slope,-4.0,"-2.08 (R2 0.68, SE 0.71)",evaluation completed; fitting scope differs,Descriptive all-point regression; paper uses a pre-saturation subset. Current DeepONet uses reference_final_trunk_relu; legacy tables are archived.,results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,DeepONet testing scaling slope,-1.4,"-1.32 (R2 0.76, SE 0.37)",evaluation completed; fitting scope differs,Descriptive all-point regression; paper uses a pre-saturation subset. Current DeepONet uses reference_final_trunk_relu; legacy tables are archived.,results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,Sparse ChemKAN already around 1e-4 at ~72 parameters,~1e-4,"our 78-parameter ChemKAN: train 3.67e-01, test 4.62e-01 (Eq. 18)",evaluation completed; not matched,"Same absolute-MSE gap as elsewhere; depends on a time reduction the paper does not state. The 72-vs-78 count discrepancy is recorded, not engineered away.",results/reproduction/tables/biodiesel_fig4_points.csv
Fig. 5A,"ChemKAN training-loss increase, 0->1% noise",+3.78e-05,-3.0432e-02,evaluation completed; not matched,"Measured negative. Both endpoints are single fixed checkpoints and B0's training loss spans 0.088 over its final 200 epochs, larger than the increment compared, so the sign is governed by where each run's 10,000th epoch falls in its own oscillation. Epoch-averaged or multi-seed endpoints would be needed; not run.",results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5A,"ChemKAN training-loss increase, 0->5% noise",+9.64e-04 (predicted +9.45e-04),-1.3880e-02,evaluation completed; not matched,Same limitation as the 0->1% row.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5A,"ChemKAN noise-free test error, 0->15%",~2x increase,0.77x,evaluation completed; not matched,Our ChemKAN clean-test error does not grow with noise; flat to slightly lower at 15%.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5A,"DeepONet noise-free test error, 0->15%",~5x increase,0.829x,evaluation completed; numerical comparison reported,Corrected reference_final_trunk_relu; final-checkpoint Eq. 22 losses on the unchanged test split. Paper activation placement is unspecified.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5A,DeepONet / ChemKAN noise-free test ratio at 15%,4.4x,0.864x,evaluation completed; numerical comparison reported,Corrected reference_final_trunk_relu; final-checkpoint Eq. 22 losses on the unchanged test split. Paper activation placement is unspecified.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5B,DeepONet overfits at 7% (clean-test minimum ~epoch 5000),"minimum ~5000, then rises",minimum epoch 6659; clean-test rise 1.2%; post-minimum smoothed training fall 1.8%,evaluation completed; does not meet our criterion,"Corrected DeepONet. The 10%/5% thresholds, 201-epoch window and 90% cutoff are our diagnostic choices, not paper requirements.",results/reproduction/tables/biodiesel_fig5b_overfit_assessment.json
Fig. 5B,DeepONet overfits strongly at 15% (minimum ~epoch 1000),"minimum ~1000, then strong rise",minimum epoch 7692; clean-test rise 0.1%; post-minimum smoothed training fall 0.9%,evaluation completed; does not meet our criterion,"Corrected DeepONet. The 10%/5% thresholds, 201-epoch window and 90% cutoff are our diagnostic choices, not paper requirements.",results/reproduction/tables/biodiesel_fig5b_overfit_assessment.json
Fig. 5B,ChemKAN does not overfit,continued decrease or plateau,ChemKAN panels meeting our criterion: [],"evaluation completed; consistent, but weakly discriminating",Uses the unchanged ChemKAN runs and the stated diagnostic criterion; absence of this signature is not proof of no overfitting.,results/reproduction/tables/biodiesel_fig5b_overfit_assessment.json
Fig. 6,15%-noise models track the hidden clean trajectory; DeepONet profiles jagged,qualitative,"ChemKAN and corrected DeepONet at Figure 3's condition: TG0=1.94, ROH0=1.43, T=334.8 K",evaluation completed; plotted condition is a reproduction choice,"Corrected reference_final_trunk_relu. This condition is unseen; its initial concentrations are consistent with the paper's plotted curves, but Figure 6's temperature is not independently established.",results/reproduction/figures/biodiesel/fig06_biodiesel_15pct_profiles.pdf
Fig. 7,Temperature and species at phi=0.9/T0=1050 K and phi=1.3/T0=1150 K,qualitative,H0 (primary): no ignition at either condition. Hnorm1 (labelled comparison): reproduces the rise,evaluation completed; not matched (H0),"The primary run's Stage-2 solution is non-igniting. Hnorm1 is one initialization, not a seed study.",results/reproduction/figures/hydrogen/fig07_hydrogen_trajectories_H0.png
Fig. 8A,441-condition generalization error map,~1e-4 at the 1000 K training conditions,All 441 evaluated; six 1000 K training-point MSEs: H0 1.497e+00 to 2.310e+00; Hnorm1 5.025e-01 to 9.462e-01,evaluation completed; not matched,"Paper reports order 1e-4 at these six training points, not a 441-grid median. Our time-summed normalized loss has an unresolved time-reduction comparability caveat. The exact cause of the accuracy gap is not established.",results/reproduction/chemkan/hydrogen/generalization/random_stage2_10000_seed0_generalization_441.csv
Fig. 8B,Ignition delay across 30 reference-igniting conditions,close agreement,H0 ignites in 0/30; Hnorm1 in 30/30 with median |relative delay error| 28.9%,"evaluation completed; not matched (H0), partially matched (Hnorm1)",Hnorm1 also ignites in 2 conditions where the reference does not. Reference and model share one 601-point grid and one estimator.,results/reproduction/tables/hydrogen_ignition_delay_random_stage2_10000_seed0.csv
Table I,"ChemKAN: 1 network, 344 parameters, 9 species + T",1 / 344 / 9+T,"1 network, 344 measured parameters, 9 species + T",evaluation completed; matched,-,results/reproduction/tables/hydrogen_efficiency.csv
Table I,ChemKAN inference speed-up,2.0x (vs Arrhenius.jl),"H0 0.14x, Hnorm1 0.50x (local PyTorch vs Cantera)",evaluation completed; not matched,"Different reference implementation, hardware and timing scope, so not directly comparable. Both local measurements are slower than Cantera. Cantera could not integrate at the model's own tolerances; recorded per setting.",results/reproduction/tables/hydrogen_inference_benchmark_random_stage2_10000_seed0.json
