figure,paper_result,paper_value,our_result,status,remaining_difference,artifact_path
Fig. 3,Smooth reconstruction of the explicit unseen condition at 0/5/10/15% noise,qualitative,"all four columns produced for TG0=1.94, ROH0=1.43, T=334.8 K; all six species","evaluation completed; qualitatively similar, not quantitatively matched",Reconstruction is visibly imperfect even at 0%: ROH is driven negative at late times and GL / R'CO2R overshoot. The noisy columns are not visibly worse than the clean one.,results/reproduction/figures/biodiesel/fig03_biodiesel_noise_columns.pdf
Fig. 4,ChemKAN training scaling slope,-1.0,"-0.41 (R2 0.19, SE 0.49)",evaluation completed; not matched,"Descriptive all-point regression; the paper regresses a pre-saturation subset, so the fitting scope differs. Our curve is non-monotonic and the fit is poorly determined.",results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,ChemKAN testing scaling slope,-0.6,"-0.38 (R2 0.18, SE 0.47)",evaluation completed; not matched,as above,results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,DeepONet training scaling slope,-4.0,"-0.95 (R2 0.46, SE 0.52)",evaluation completed; not matched,Same scope difference. The w=6 (220-param) point has plateaued at a high value and sits far off the trend; it is retained rather than dropped.,results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,DeepONet testing scaling slope,-1.4,"-0.61 (R2 0.45, SE 0.34)",evaluation completed; not matched,as above,results/reproduction/tables/biodiesel_fig4_fits.csv
Fig. 4,Sparse ChemKAN already around 1e-4 at ~72 parameters,~1e-4,"our 78-parameter ChemKAN: train 3.67e-01, test 4.62e-01 (Eq. 18)",evaluation completed; not matched,"Same absolute-MSE gap as elsewhere; depends on a time reduction the paper does not state. The 72-vs-78 count discrepancy is recorded, not engineered away.",results/reproduction/tables/biodiesel_fig4_points.csv
Fig. 5A,"ChemKAN training-loss increase, 0->1% noise",+3.78e-05,-3.0432e-02,evaluation completed; not matched,"Measured negative. Both endpoints are single fixed checkpoints and B0's training loss spans 0.088 over its final 200 epochs, larger than the increment compared, so the sign is governed by where each run's 10,000th epoch falls in its own oscillation. Epoch-averaged or multi-seed endpoints would be needed; not run.",results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5A,"ChemKAN training-loss increase, 0->5% noise",+9.64e-04 (predicted +9.45e-04),-1.3880e-02,evaluation completed; not matched,Same limitation as the 0->1% row.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5A,"ChemKAN noise-free test error, 0->15%",~2x increase,0.77x,evaluation completed; not matched,Our ChemKAN clean-test error does not grow with noise; flat to slightly lower at 15%.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5A,"DeepONet noise-free test error, 0->15%",~5x increase,1.01x,evaluation completed; not matched,Essentially flat across noise levels.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
